Price,Close,High,Low,Open,Volume
Ticker,2317.TW,2317.TW,2317.TW,2317.TW,2317.TW
Date,,,,,
2000-01-03,23.93179702758789,23.93179702758789,23.93179702758789,23.93179702758789,0
2000-01-04,12.682167053222656,12.784539210679084,12.121780063588831,12.272679526164936,100969038
2000-01-05,12.682167053222656,12.989283525591935,12.428232669631964,12.530603724320406,78951612
2000-01-06,12.682167053222656,12.989283525591935,12.375051683621363,12.735348039233259,94351308
2000-01-07,12.170310020446777,12.530606454562164,12.067937840684902,12.272682200208651,63538583
2000-01-10,12.42823314666748,12.63297636667105,12.067935674458226,12.272679997229822,71348563
2000-01-11,12.326525688171387,13.193364273180297,12.326525688171387,13.193364273180297,113739712
2000-01-12,13.042465209960938,13.04246520996094,12.2726812209864,12.47742556417385,105636792
2000-01-13,13.042465209960938,13.500481208156994,12.94009414113535,13.247210655916524,180292164
2000-01-14,12.530604362487793,13.295735706001615,12.530604362487795,13.19336354333151,75928603
2000-01-17,12.989282608032227,13.247207890735902,12.837719289836372,12.940091440061254,63291557
2000-01-18,12.940093994140625,13.144838335002254,12.837721823709812,13.091657342251628,36009878
2000-01-19,12.632975578308105,12.989283213564002,12.579794593575015,12.940092043299847,39957690
2000-01-20,12.73534870147705,12.784539875480839,12.477424489909408,12.784539875480839,26366721
2000-01-21,12.682167053222656,12.94009235414611,12.682167053222656,12.735348039233259,47431990
2000-01-24,12.530604362487793,12.940093013168223,12.530604362487795,12.940093013168223,31916914
2000-01-25,12.42823314666748,12.682167540004992,12.42823314666748,12.530604205285252,22894992
2000-01-26,12.477422714233398,12.682165907887773,12.37505056602227,12.428231547230062,47392321
2000-01-27,12.42823314666748,12.682167540004992,12.42823314666748,12.682167540004992,24439421
2000-01-28,12.579793930053711,12.784538229248966,12.428231715554414,12.428231715554414,47079264
2000-01-31,12.73534870147705,12.886912038260663,12.682167712701014,12.784539875480839,31397900
2000-02-01,12.579793930053711,12.886910378846594,12.530602762384143,12.837719211177024,84326933
2000-02-02,12.579793930053711,12.579793930053711,12.579793930053711,12.579793930053711,0
2000-02-03,12.579793930053711,12.579793930053711,12.579793930053711,12.579793930053711,0
2000-02-04,12.579793930053711,12.579793930053711,12.579793930053711,12.579793930053711,0
2000-02-07,12.579793930053711,12.579793930053711,12.579793930053711,12.579793930053711,0
2000-02-08,12.579793930053711,12.579793930053711,12.579793930053711,12.579793930053711,0
2000-02-09,12.682167053222656,13.247208826515388,12.682167053222656,12.88691136813551,304085414
2000-02-10,12.940093994140625,12.940093994140625,12.53060531241737,12.682168660528372,187384723
2000-02-11,13.807597160339355,13.807597160339355,13.091656957540659,13.091656957540659,344853284
2000-02-14,13.807597160339355,14.421164092947453,13.807597160339355,14.114713662606881,406964176
2000-02-15,14.57737922668457,14.62590653023254,13.807595368946824,14.065519558748608,241149462
2000-02-16,14.372635841369629,14.625906347262807,14.270263688509521,14.577379044321914,161401143
2000-02-17,14.217083930969238,14.577380301476497,14.217083930969238,14.217083930969238,125048123
2000-02-18,14.065521240234375,14.475009905750497,14.065521240234375,14.475009905750497,107253028
2000-02-21,13.091654777526855,13.55365939231317,13.091654777526855,13.55365939231317,87638759
2000-02-22,13.295736312866211,13.553661638698092,13.091656947339084,13.091656947339084,134753118
2000-02-23,13.909968376159668,14.21708375464887,13.34958137030826,13.500479734483376,215180424
2000-02-24,14.270265579223633,14.475009912071098,14.012341358475252,14.31879178582599,214266979
2000-02-25,14.318791389465332,14.72828004382514,14.270265184206238,14.37263734779619,206994478
2000-02-28,14.318791389465332,14.318791389465332,14.318791389465332,14.318791389465332,0
2000-02-29,14.625907897949219,14.679087784442464,14.270265201489535,14.475009528917411,134264876
2000-03-01,14.372635841369629,14.830650652983024,14.372635841369629,14.728278500122917,108432762
2000-03-02,14.421165466308594,14.625909820651893,14.372639254611537,14.475011431783186,83138031
2000-03-03,14.421165466308594,14.523537643480244,14.167894900268237,14.421165466308594,62989128
2000-03-06,14.318791389465332,14.421163553055283,13.96314869343638,14.114713134187449,68070596
2000-03-07,14.625907897949219,14.625907897949217,14.3187914068074,14.3187914068074,95097517
2000-03-08,15.035398483276367,15.08857837659765,14.523537598986245,14.62590977584427,171716614
2000-03-09,15.444220542907715,15.498066506209788,14.933025749665,15.137770095747491,195730616
2000-03-10,15.498066902160645,15.85370964010966,15.19095037519057,15.600439077817335,181412129
2000-03-13,14.475011825561523,15.190951013249098,14.421165858622107,14.421165858622107,178226695
2000-03-14,14.57737922668457,14.728278684373322,14.065519558748608,14.67908641175276,174302792
2000-03-15,14.167892456054688,14.577379991329202,14.065520296544056,14.523535137912003,163459471
